algorithm,ue0_in,ue1_in,ue2_in,ue0_out,ue1_out,ue2_out,ue0_drop,ue1_drop,ue2_drop,ue0_q_final,ue1_q_final,ue2_q_final,total_in,total_out,total_drop,jain_index_out,description
RR,79716,80077,40467,24650,26750,27050,35379,33977,0,19687,19350,13417,200260,78450,69356,1.00,arrival+RR load compare
Max-CQI,79716,80077,40467,37950,40722,37900,22079,20386,0,19687,18969,2567,200260,116572,42465,1.00,arrival+Max-CQI load compare
PF,79716,80077,40467,37200,36550,37636,22829,24177,0,19687,19350,2831,200260,111386,47006,1.00,arrival+PF load compare
